Nama Kolom,Tipe Data,Deskripsi
id,int64,Identifier unik untuk setiap entri bahan makanan atau hidangan.
jenis_makanan,object,"Kategori makanan, dipisahkan menjadi 'dish' (makanan siap konsumsi) atau 'komponen' (bahan mentah/tunggal)."
nama_makanan,object,"Nama bahan makanan atau hidangan yang sudah melewati proses normalisasi teks (lowercase, tanpa tanda baca)."
kalori,float64,"Kandungan energi total per 100 gram bahan makanan, dinyatakan dalam satuan Kalori (Kal/kcal)."
protein,float64,"Kandungan protein per 100 gram bahan makanan, dinyatakan dalam satuan gram (g)."
lemak,float64,"Kandungan lemak total per 100 gram bahan makanan, dinyatakan dalam satuan gram (g)."
karbohidrat,float64,"Kandungan karbohidrat total per 100 gram bahan makanan, dinyatakan dalam satuan gram (g)."
source,object,"Sumber asal data operasional, mengindikasikan apakah data berasal dari 'tkpi' atau 'kaggle'."
protein_per_calorie,float64,"Rasio kandungan protein terhadap total kalori (g/Kal), digunakan untuk mengukur efisiensi densitas protein."
fat_per_calorie,float64,"Rasio kandungan lemak terhadap total kalori (g/Kal), digunakan untuk mengukur densitas lemak."
carb_per_calorie,float64,"Rasio kandungan karbohidrat terhadap total kalori (g/Kal), digunakan untuk mengukur densitas karbohidrat."
protein_fat_ratio,float64,Perbandingan antara total protein terhadap total lemak (protein dibagi lemak) dalam suatu makanan.
macro_balance_score,float64,Skor kalkulasi hasil feature engineering yang menunjukkan tingkat keseimbangan proporsi zat gizi makro.
