id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
1,komponen,blewah segar,34.0,0.8,0.2,8.2,tkpi
2,komponen,mentimun suri segar,16.0,1.3,0.0,2.1,tkpi
3,dish,nasi tim,120.0,2.4,0.4,26.0,tkpi
4,komponen,akar tonjong segar,45.0,1.1,0.4,10.8,tkpi
5,komponen,aletoge segar,37.0,4.4,0.5,3.8,tkpi
6,komponen,andaliman segar,99.0,4.6,1.0,18.0,tkpi
7,dish,ayam goreng pasundan dada,246.0,37.9,9.0,0.7,tkpi
8,dish,ayam goreng pasundan paha,245.0,33.1,11.4,0.3,tkpi
9,dish,ayam goreng pioneer dada,295.0,37.4,14.7,0.6,tkpi
10,dish,ayam goreng sukabumi dada,244.0,36.7,9.2,1.0,tkpi
11,dish,ayam goreng sukabumi paha,283.0,35.7,14.3,0.5,tkpi
12,dish,ayam usus goreng,473.0,45.2,26.3,13.9,tkpi
13,dish,bayam kukus,30.0,1.3,0.7,5.8,tkpi
14,dish,bayam rebus,23.0,1.2,0.6,3.7,tkpi
15,komponen,bayam segar,16.0,0.9,0.4,2.9,tkpi
16,dish,botok lamtoro,186.0,11.7,9.7,13.0,tkpi
17,dish,brem,249.0,3.4,0.4,58.0,tkpi
18,dish,brongkos,141.0,15.3,3.3,12.6,tkpi
19,dish,buncis rebus,30.0,2.2,0.2,6.4,tkpi
20,komponen,buncis segar,34.0,2.4,0.3,7.2,tkpi
21,komponen,bunga pepaya segar,45.0,2.6,0.3,8.1,tkpi
22,dish,buntil daun talas,141.0,4.4,10.2,8.0,tkpi
23,komponen,caisin segar,20.0,1.7,0.4,3.4,tkpi
24,komponen,daun bangunbangun segar,27.0,1.3,0.6,4.0,tkpi
25,komponen,daun bebuas segar,41.0,2.7,1.0,7.3,tkpi
26,komponen,daun belem segar,50.0,4.4,1.4,7.8,tkpi
27,komponen,daun gelang segar,30.0,1.3,0.7,5.8,tkpi
28,komponen,daun gunda bali segar,50.0,4.6,0.9,7.0,tkpi
29,komponen,daun gunda serang segar,62.0,4.2,0.9,9.2,tkpi
30,komponen,daun jampang segar,34.0,3.8,0.5,5.3,tkpi
31,komponen,daun jonghe segar,27.0,2.1,0.7,4.4,tkpi
32,komponen,daun kacang ma segar,36.0,2.9,0.6,6.8,tkpi
33,dish,daun kacang panjang kukus,40.0,3.7,0.3,8.0,tkpi
34,komponen,daun kacang panjang segar,30.0,3.1,0.3,5.8,tkpi
35,dish,daun katuk rebus,53.0,5.3,0.9,9.1,tkpi
36,komponen,daun katuk segar,59.0,6.4,1.0,9.9,tkpi
37,dish,daun kelor rebus,61.0,6.1,0.9,10.0,tkpi
38,komponen,daun kesum segar,48.0,4.5,0.8,9.1,tkpi
39,komponen,daun kol sawi segar,22.0,2.1,0.5,3.6,tkpi
40,komponen,daun kumak segar,14.0,1.3,0.3,2.3,tkpi
41,komponen,daun lamtoro segar,87.0,8.3,1.8,14.4,tkpi
42,komponen,daun matel ambon segar,71.0,6.8,1.6,11.5,tkpi
43,dish,daun mengkudu kukus,63.0,3.8,1.5,11.5,tkpi
44,komponen,daun mengkudu segar,65.0,4.0,1.7,11.4,tkpi
45,komponen,daun pakis segar,39.0,4.5,0.4,6.9,tkpi
46,komponen,daun pohpohan segar,37.0,2.5,0.8,6.9,tkpi
47,komponen,daun semanggi segar,45.0,4.4,0.5,8.5,tkpi
48,komponen,daun simpur segar,53.0,3.2,2.5,7.6,tkpi
49,komponen,daun singkil segar,68.0,2.0,1.0,15.2,tkpi
50,dish,daun singkong rebus,31.0,3.7,0.6,4.8,tkpi
51,komponen,daun singkong segar,50.0,6.2,1.1,7.1,tkpi
52,komponen,daun sintrong segar,36.0,2.6,0.9,6.1,tkpi
53,dish,daun talas rebus,27.0,1.3,0.2,5.9,tkpi
54,komponen,daun talas segar,59.0,3.0,0.4,13.5,tkpi
55,dish,daun ubi merah kukus,56.0,3.1,0.3,13.0,tkpi
56,komponen,daun ubi merah segar,48.0,3.0,0.3,10.8,tkpi
57,dish,gadogado,137.0,6.1,3.2,21.0,tkpi
58,dish,gudeg sayur,160.0,3.3,9.2,16.0,tkpi
59,komponen,gulai pakis,143.0,4.0,11.4,6.0,tkpi
60,komponen,kacang babi kering,341.0,30.4,3.2,51.3,tkpi
61,komponen,kacang belimbing kecipir kering,400.0,34.4,16.9,34.1,tkpi
62,dish,kacang belimbing kecipir rebus,204.0,16.9,8.8,17.5,tkpi
63,dish,kacang bogor goreng,479.0,12.7,23.2,58.9,tkpi
64,dish,kacang bogor rebus,161.0,7.7,2.8,27.1,tkpi
65,komponen,kacang bogor segar,165.0,7.7,3.1,27.4,tkpi
66,komponen,kacang gude biji kering,316.0,20.7,1.0,58.0,tkpi
67,dish,kacang gude rebus,147.0,9.0,0.5,27.5,tkpi
68,komponen,kacang hijau var bakti kering,350.0,17.1,1.8,70.7,tkpi
69,komponen,kacang hijau var siwalik kering,339.0,20.8,2.1,64.6,tkpi
70,komponen,kacang hijau kering,323.0,22.9,1.5,56.8,tkpi
71,dish,kacang hijau rebus,109.0,8.7,0.5,18.3,tkpi
72,dish,kacang kedelai goreng,521.0,32.2,37.7,22.9,tkpi
73,komponen,kacang kedelai kering,381.0,40.4,16.7,24.9,tkpi
74,dish,kacang kedelai rebus,189.0,20.2,8.2,12.7,tkpi
75,komponen,kacang mekah polong segar,22.0,1.1,1.0,3.4,tkpi
76,dish,kacang panjang kukus,39.0,3.0,0.6,7.6,tkpi
77,dish,kacang panjang rebus,30.0,2.3,0.4,5.8,tkpi
78,komponen,kacang ranti polong,37.0,3.1,0.2,7.9,tkpi
79,dish,kangkung kukus,30.0,3.2,0.7,4.7,tkpi
80,dish,kangkung rebus,22.0,2.5,0.6,3.1,tkpi
81,komponen,kangkung segar,28.0,3.4,0.7,3.9,tkpi
82,dish,karedok sayur,92.0,2.2,3.3,14.1,tkpi
83,komponen,kecombrang segar,34.0,0.9,1.0,6.7,tkpi
84,dish,keripik bayam,586.0,4.9,40.6,50.2,tkpi
85,komponen,ketimun krai segar,10.0,0.5,0.2,2.0,tkpi
