id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
1,komponen,blewah segar,34.0,0.8,0.2,8.2,tkpi,0.023529411072664385,0.005882352768166096,0.2411764634948099,3.9999800000999994,0.6045575753726883
2,komponen,mentimun suri segar,16.0,1.3,0.0,2.1,tkpi,0.08124999492187532,0.0,0.13124999179687552,1300000.0,0.74547539243633
3,dish,nasi tim,120.0,2.4,0.4,26.0,tkpi,0.019999999833333334,0.003333333305555556,0.21666666486111114,5.9999850000374995,0.5963451439678276
4,komponen,akar tonjong segar,45.0,1.1,0.4,10.8,tkpi,0.024444443901234583,0.008888888691358031,0.23999999466666683,2.7499931250171876,0.6141279210277881
5,komponen,aletoge segar,37.0,4.4,0.5,3.8,tkpi,0.11891891570489418,0.013513513148283429,0.10270269992695406,8.7999824000352,0.8029146183967557
6,komponen,andaliman segar,99.0,4.6,1.0,18.0,tkpi,0.04646464599530661,0.010101009998979697,0.18181817998163455,4.5999954000046,0.6900626556961751
7,dish,ayam goreng pasundan dada,246.0,37.9,9.0,0.7,tkpi,0.15406504002412585,0.03658536570493754,0.002845528443717364,4.211110643209929,0.66503910513455
8,dish,ayam goreng pasundan paha,245.0,33.1,11.4,0.3,tkpi,0.13510204026488964,0.0465306120549771,0.0012244897909204498,2.9035085172360953,0.6959456892586695
9,dish,ayam goreng pioneer dada,295.0,37.4,14.7,0.6,tkpi,0.1267796605871876,0.04983050830565929,0.0020338982981901754,2.5442175139988086,0.7123402520829019
10,dish,ayam goreng sukabumi dada,244.0,36.7,9.2,1.0,tkpi,0.15040983544914002,0.03770491787825853,0.004098360638941145,3.9891300011815227,0.67445833944565
11,dish,ayam goreng sukabumi paha,283.0,35.7,14.3,0.5,tkpi,0.12614840944823885,0.050530035157137686,0.0017667844460537653,2.496503321922845,0.713236452379115
12,dish,ayam usus goreng,473.0,45.2,26.3,13.9,tkpi,0.09556025349775846,0.055602536880332905,0.029386892115461118,1.7186311133600336,0.8493010683342062
13,dish,bayam kukus,30.0,1.3,0.7,5.8,tkpi,0.04333333188888894,0.02333333255555558,0.1933333268888891,1.8571402040854228,0.7082100852117681
14,dish,bayam rebus,23.0,1.2,0.6,3.7,tkpi,0.05217391077504736,0.02608695538752368,0.16086955822306268,1.9999966666722222,0.7559147810230028
15,komponen,bayam segar,16.0,0.9,0.4,2.9,tkpi,0.05624999648437522,0.024999998437500098,0.1812499886718757,2.2499943750140625,0.7428277500631801
